Timestamp_PC (s),DeltaT_uC (ms),DeltaT_uC (s),Acel_X (m/s²),Acel_Y (m/s²),Acel_Z (m/s²)
1.346,11,0.011,0.009577,0.038308,9.749189
1.352,11,0.011,0.009576,0.009577,9.758765
1.357,12,0.012,0.009576,0.009577,9.758765
1.361,11,0.011,0.019153,0.047885,9.758765
1.365,11,0.011,0.019153,0.047885,9.758765
1.369,11,0.011,0.02873,0.067038,9.739612
1.374,12,0.012,0.02873,0.067038,9.739612
1.379,11,0.011,0.0,0.057461,9.758765
1.381,11,0.011,0.028731,0.009576,9.730035
1.388,12,0.012,0.028731,0.009576,9.730035
1.490,11,0.011,0.02873,0.009577,9.749189
1.490,11,0.011,0.02873,0.009577,9.749189
1.500,12,0.012,0.067037,0.038308,9.758765
1.508,11,0.011,0.067037,0.038308,9.758765
1.512,11,0.011,0.047884,0.047885,9.739612
1.519,11,0.011,0.009576,0.057461,9.710881
1.525,12,0.012,0.009576,0.057461,9.710881
1.525,11,0.011,0.019154,0.009577,9.768342
1.530,11,0.011,0.019154,0.009577,9.768342
1.535,12,0.012,0.0,0.019154,9.710881
1.540,11,0.011,0.0,0.019154,9.710881
1.544,11,0.011,0.038307,0.028731,9.749189
1.549,12,0.012,0.038307,0.028731,9.749189
1.553,11,0.011,0.05746,0.038308,9.758765
1.557,11,0.011,0.009576,0.057461,9.720458
1.660,11,0.011,0.009576,0.057461,9.720458
1.666,12,0.012,0.009577,0.047885,9.710881
1.673,11,0.011,0.009577,0.047885,9.710881
1.676,11,0.011,0.019154,0.009577,9.730035
1.684,12,0.012,0.019154,0.009577,9.730035
1.687,11,0.011,0.02873,0.009576,9.720458
1.690,11,0.011,0.019153,0.038307,9.739612
1.690,12,0.012,0.019153,0.038307,9.739612
1.701,11,0.011,0.009576,0.038307,9.701305
1.706,11,0.011,0.009576,0.038307,9.701305
1.707,11,0.011,0.009577,0.038308,9.701305
1.711,12,0.012,0.009577,0.038308,9.701305
1.717,11,0.011,0.019153,0.076615,9.730035
1.722,11,0.011,0.02873,0.047885,9.730035
1.726,12,0.012,0.02873,0.047885,9.730035
1.834,11,0.011,0.05746,0.076615,9.749189
1.838,11,0.011,0.05746,0.076615,9.749189
1.843,12,0.012,0.0,0.019154,9.768342
1.847,11,0.011,0.0,0.019154,9.768342
1.851,11,0.011,0.019154,0.0,9.749189
1.856,11,0.011,0.019154,0.0,9.749189
1.861,12,0.012,0.019154,0.028731,9.749189
1.863,11,0.011,0.038307,0.019154,9.710881
1.870,11,0.011,0.038307,0.019154,9.710881
1.875,12,0.012,0.009576,0.038308,9.758765
1.880,11,0.011,0.009576,0.038308,9.758765
1.884,11,0.011,0.009576,0.0,9.777919
1.888,12,0.012,0.009576,0.0,9.777919
1.892,11,0.011,0.009576,0.028731,9.739612
1.894,11,0.011,0.019153,0.038308,9.730035
2.004,11,0.011,0.019153,0.038308,9.730035
2.008,12,0.012,0.038307,0.047885,9.730035
2.012,11,0.011,0.038307,0.047885,9.730035
2.017,11,0.011,0.0,0.019154,9.749189
2.021,12,0.012,0.0,0.019154,9.749189
2.024,11,0.011,0.009577,0.009577,9.730035
2.030,11,0.011,0.009577,0.0,9.730035
2.033,12,0.012,0.009577,0.0,9.730035
2.039,11,0.011,0.0,0.019154,9.768342
2.044,11,0.011,0.0,0.019154,9.768342
2.048,11,0.011,0.047884,0.047885,9.749189
2.053,12,0.012,0.047884,0.047885,9.749189
2.058,11,0.011,0.038307,0.067038,9.749189
2.061,11,0.011,0.038307,0.067038,9.749189
2.065,12,0.012,0.009576,0.028731,9.749189
2.173,11,0.011,0.0,0.028731,9.758765
2.177,11,0.011,0.0,0.028731,9.758765
2.182,12,0.012,0.009577,0.02873,9.777919
2.186,11,0.011,0.009577,0.02873,9.777919
2.191,11,0.011,0.02873,0.009577,9.777919
2.195,11,0.011,0.02873,0.009577,9.777919
2.200,12,0.012,0.019153,0.019154,9.768342
2.202,11,0.011,0.019153,0.028731,9.730035
2.209,11,0.011,0.019153,0.028731,9.730035
2.214,12,0.012,0.0,0.019154,9.739612
2.218,11,0.011,0.0,0.019154,9.739612
2.222,11,0.011,0.009576,0.038308,9.720458
2.227,12,0.012,0.009576,0.038308,9.720458
2.232,11,0.011,0.009576,0.009577,9.758765
2.236,11,0.011,0.009576,0.028731,9.749189
2.333,11,0.011,0.0,0.028731,9.749189
2.343,12,0.012,0.019153,0.047885,9.691728
2.343,11,0.011,0.019153,0.047885,9.691728
2.356,11,0.011,0.009576,0.009577,9.758765
2.358,12,0.012,0.009576,0.009577,9.758765
2.365,11,0.011,0.019153,0.019154,9.739612
2.367,11,0.011,0.019153,0.019154,9.739612
2.374,12,0.012,0.038307,0.028731,9.758765
2.379,11,0.011,0.02873,0.028731,9.730035
2.383,11,0.011,0.02873,0.028731,9.730035
2.384,11,0.011,0.009576,0.057461,9.710881
2.392,12,0.012,0.009576,0.057461,9.710881
2.395,11,0.011,0.009576,0.009577,9.749189
2.401,11,0.011,0.009576,0.009577,9.749189
2.406,12,0.012,0.019153,0.009577,9.739612
2.511,11,0.011,0.02873,0.02873,9.739612
2.516,11,0.011,0.02873,0.02873,9.739612
2.521,12,0.012,0.0,0.028731,9.749189
2.526,11,0.011,0.0,0.028731,9.749189
2.530,11,0.011,0.009576,0.047885,9.758765
2.535,11,0.011,0.009576,0.047885,9.758765
2.539,12,0.012,0.02873,0.009577,9.787496
2.544,11,0.011,0.02873,0.028731,9.749189
2.548,11,0.011,0.019153,0.028731,9.749189
2.551,12,0.012,0.02873,0.019154,9.720458
2.557,11,0.011,0.02873,0.019154,9.720458
2.559,11,0.011,0.019154,0.009576,9.730035
2.566,12,0.012,0.019154,0.009576,9.730035
2.569,11,0.011,0.02873,0.019154,9.730035
2.575,11,0.011,0.02873,0.019154,9.730035
2.673,11,0.011,0.0,0.009577,9.739612
2.683,12,0.012,0.02873,0.028731,9.749189
2.691,11,0.011,0.02873,0.028731,9.749189
2.694,11,0.011,0.038307,0.019154,9.749189
2.694,12,0.012,0.038307,0.019154,9.749189
2.704,11,0.011,0.019153,0.019154,9.710881
